config,question_num,total_cost_usd,total_time_sec
archon-config-1.json,1,0.00366,23.1977
archon-config-1.json,2,0.00393,26.3119
archon-config-1.json,3,0.00535,30.915
archon-config-1.json,4,0.00569,32.7143
archon-config-1.json,5,0.00544,39.9418
archon-config-1.json,6,0.0068,42.1767
archon-config-1.json,7,0.0045,43.1004
archon-config-1.json,8,0.00612,44.9995
archon-config-1.json,9,0.00649,46.9278
archon-config-1.json,10,0.00658,52.5325
archon-config-1.json,11,0.00732,53.985
archon-config-1.json,12,0.00704,54.0169
archon-config-1.json,13,0.00723,54.8228
archon-config-1.json,14,0.00758,57.4964
archon-config-1.json,15,0.00614,58.8953
archon-config-1.json,16,0.00363,21.6839
archon-config-1.json,17,0.01046,62.8882
archon-config-1.json,18,0.00744,32.2376
archon-config-1.json,19,0.00343,27.3185
archon-config-1.json,20,0.00555,29.0986
archon-config-1.json,21,0.00747,56.3378
archon-config-1.json,22,0.0059,40.5265
archon-config-1.json,23,0.00603,38.0967
archon-config-1.json,24,0.00361,33.14
archon-config-1.json,25,0.00657,34.9753
archon-config-1.json,26,0.00825,64.7588
archon-config-1.json,27,0.00463,37.4155
archon-config-1.json,28,0.00511,33.7684
archon-config-1.json,29,0.00744,46.1003
archon-config-1.json,30,0.00776,49.9552
archon-config-1.json,31,0.00304,23.2491
archon-config-1.json,32,0.00751,63.0561
archon-config-1.json,33,0.00941,50.3502
archon-config-1.json,34,0.00839,48.9135
archon-config-1.json,35,0.00486,26.2122
archon-config-1.json,36,0.00699,43.2277
archon-config-1.json,37,0.00335,28.0154
archon-config-1.json,38,0.00908,52.0049
archon-config-1.json,39,0.00609,34.8453
archon-config-1.json,40,0.00477,27.6034
archon-config-1.json,41,0.00586,30.9983
archon-config-1.json,42,0.0088,37.2322
archon-config-1.json,43,0.00457,34.3797
archon-config-1.json,44,0.00614,30.396
archon-config-1.json,45,0.00457,32.3722
archon-config-1.json,46,0.0055,36.8326
archon-config-1.json,47,0.00841,58.1758
archon-config-1.json,48,0.00786,51.3672
archon-config-1.json,49,0.00491,28.3922
archon-config-1.json,50,0.00306,21.6798
archon-config-1.json,51,0.0058,50.1792
archon-config-1.json,52,0.00476,36.6246
archon-config-1.json,53,0.00637,81.0925
archon-config-1.json,54,0.00546,46.8374
archon-config-1.json,55,0.00779,49.3807
archon-config-1.json,56,0.00656,48.2472
archon-config-1.json,57,0.00494,25.7296
archon-config-1.json,58,0.00656,47.1774
archon-config-1.json,59,0.00947,54.3247
archon-config-1.json,60,0.00406,30.4561
archon-config-1.json,61,0.00485,32.9382
archon-config-1.json,62,0.00667,44.3527
archon-config-1.json,63,0.00658,53.6627
archon-config-1.json,64,0.00702,61.602
archon-config-1.json,65,0.00782,59.434
archon-config-1.json,66,0.00547,29.8265
archon-config-1.json,67,0.00733,43.1924
archon-config-1.json,68,0.00627,43.2279
archon-config-1.json,69,0.00646,27.0077
archon-config-1.json,70,0.00648,39.3853
archon-config-1.json,71,0.00621,54.4426
archon-config-1.json,72,0.00764,65.5956
archon-config-1.json,73,0.0063,49.9285
archon-config-1.json,74,0.01059,77.8279
archon-config-1.json,75,0.01274,80.2442
archon-config-1.json,76,0.00312,21.0101
archon-config-1.json,77,0.00612,31.4275
archon-config-1.json,78,0.00575,40.1107
archon-config-1.json,79,0.0083,35.6452
archon-config-1.json,80,0.00936,40.0324
archon-config-1.json,81,0.00712,40.9078
archon-config-1.json,82,0.00805,50.2842
archon-config-1.json,83,0.00398,21.7718
archon-config-1.json,84,0.00529,31.158
archon-config-1.json,85,0.01041,49.8906
archon-config-1.json,86,0.00868,54.0021
archon-config-1.json,87,0.00441,27.2188
archon-config-1.json,88,0.00639,28.6052
archon-config-1.json,89,0.00687,43.4038
archon-config-1.json,90,0.00586,42.2517
archon-config-1.json,91,0.01017,60.5597
archon-config-1.json,92,0.00649,47.3558
archon-config-1.json,93,0.00538,29.9961
archon-config-1.json,94,0.00633,41.8258
archon-config-1.json,95,0.00846,53.3856
archon-config-1.json,96,0.00823,58.7521
archon-config-1.json,97,0.0056,32.0001
archon-config-1.json,98,0.00674,40.8243
archon-config-1.json,99,0.00958,60.9672
