config,question_num,total_cost_usd,total_time_sec,accuracy
archon-config-10.json,1,0.00705,102.9335,
archon-config-10.json,2,0.00544,75.7896,
archon-config-10.json,3,0.01111,133.9595,
archon-config-10.json,4,0.00396,47.9833,
archon-config-10.json,5,0.01059,123.4433,
archon-config-10.json,6,0.00988,97.98,
archon-config-10.json,7,0.00746,109.9944,
archon-config-10.json,8,0.00802,94.5142,
archon-config-10.json,9,0.00601,77.6499,
archon-config-10.json,10,0.00564,88.4151,
archon-config-10.json,11,0.00545,47.9138,
archon-config-10.json,12,0.00774,109.2482,
archon-config-10.json,13,0.00749,98.536,
archon-config-10.json,14,0.00436,63.0419,
archon-config-10.json,15,0.00816,111.0725,
archon-config-10.json,16,0.00629,81.5313,
archon-config-10.json,17,0.00731,99.8774,
archon-config-10.json,18,0.01212,185.8683,
archon-config-10.json,19,0.00792,80.6343,
archon-config-10.json,20,0.0048,57.5622,
archon-config-10.json,21,0.00527,59.0,
archon-config-10.json,22,0.00341,42.3622,
archon-config-10.json,23,0.00729,88.8932,
archon-config-10.json,24,0.00765,124.8664,
archon-config-10.json,25,0.00707,86.294,
archon-config-10.json,26,0.00678,70.1426,
archon-config-10.json,27,0.00459,54.0297,
archon-config-10.json,28,0.00861,114.6151,
archon-config-10.json,29,0.00723,89.7426,
archon-config-10.json,30,0.00548,89.4613,
archon-config-10.json,31,0.00537,70.0986,
archon-config-10.json,32,0.00739,97.9964,
archon-config-10.json,33,0.00691,93.2781,
archon-config-10.json,34,0.00748,84.9204,
archon-config-10.json,35,0.00774,80.9902,
archon-config-10.json,36,0.00424,63.6208,
archon-config-10.json,37,0.0068,89.8843,
archon-config-10.json,38,0.00679,71.244,
archon-config-10.json,39,0.00762,106.0357,
archon-config-10.json,40,0.00365,53.272,
archon-config-10.json,41,0.00537,75.9789,
archon-config-10.json,42,0.00877,113.652,
archon-config-10.json,43,0.00681,75.1081,
archon-config-10.json,44,0.00601,74.1801,
archon-config-10.json,45,0.01217,144.0033,
archon-config-10.json,46,0.00484,63.6495,
archon-config-10.json,47,0.00684,89.6172,
archon-config-10.json,48,0.00706,112.4671,
archon-config-10.json,49,0.00819,95.0816,
archon-config-10.json,50,0.00531,72.7313,
archon-config-10.json,51,0.00588,81.5971,
archon-config-10.json,52,0.01218,117.1527,
archon-config-10.json,53,0.00716,103.6269,
archon-config-10.json,54,0.006,89.6002,
archon-config-10.json,55,0.00548,85.1364,
archon-config-10.json,56,0.00808,102.3897,
archon-config-10.json,57,0.01417,248.6266,
archon-config-10.json,58,0.003,41.8785,
archon-config-10.json,59,0.00948,141.1403,
archon-config-10.json,60,0.00978,119.0052,
archon-config-10.json,61,0.00643,115.5073,
