config,question_num,total_cost_usd,total_time_sec
archon-config-1.json,1,0.00623,38.9063
archon-config-1.json,2,0.00613,35.7752
archon-config-1.json,3,0.01078,61.6224
archon-config-1.json,4,0.00491,27.8028
archon-config-1.json,5,0.01032,51.8182
archon-config-1.json,6,0.00591,27.8916
archon-config-1.json,7,0.0088,55.9376
archon-config-1.json,8,0.00846,42.9313
archon-config-1.json,9,0.00461,24.609
archon-config-1.json,10,0.00462,37.174
archon-config-1.json,11,0.00581,20.3871
archon-config-1.json,12,0.00902,59.2189
archon-config-1.json,13,0.00886,44.0406
archon-config-1.json,14,0.00501,30.2537
archon-config-1.json,15,0.00772,54.9723
archon-config-1.json,16,0.00741,52.9004
archon-config-1.json,17,0.00699,36.7065
archon-config-1.json,18,0.01618,102.5153
archon-config-1.json,19,0.00962,44.4323
archon-config-1.json,20,0.00402,18.9959
archon-config-1.json,21,0.00583,30.3774
archon-config-1.json,22,0.00429,29.1559
archon-config-1.json,23,0.00656,32.5803
archon-config-1.json,24,0.01034,63.8603
archon-config-1.json,25,0.00614,26.3692
archon-config-1.json,26,0.00919,47.4182
archon-config-1.json,27,0.00429,25.9259
archon-config-1.json,28,0.00831,39.4274
archon-config-1.json,29,0.0074,38.8996
archon-config-1.json,30,0.00558,35.9332
archon-config-1.json,31,0.00615,44.6947
archon-config-1.json,32,0.00877,62.0623
archon-config-1.json,33,0.00685,35.9866
archon-config-1.json,34,0.00805,36.6205
archon-config-1.json,35,0.01037,62.0884
archon-config-1.json,36,0.00432,30.5762
archon-config-1.json,37,0.0069,44.0028
archon-config-1.json,38,0.00726,42.8604
archon-config-1.json,39,0.00737,42.5797
archon-config-1.json,40,0.00353,30.3284
archon-config-1.json,41,0.00601,58.5514
archon-config-1.json,42,0.01401,63.8603
archon-config-1.json,43,0.00752,44.3601
archon-config-1.json,44,0.00613,29.6111
archon-config-1.json,45,0.00782,50.2769
archon-config-1.json,46,0.00615,42.9441
archon-config-1.json,47,0.00744,45.4641
archon-config-1.json,48,0.00676,42.2086
archon-config-1.json,49,0.00834,41.1525
archon-config-1.json,50,0.00503,29.2353
archon-config-1.json,51,0.00591,39.9351
archon-config-1.json,52,0.01117,63.0691
archon-config-1.json,53,0.00574,28.7267
archon-config-1.json,54,0.00542,29.3004
archon-config-1.json,55,0.00497,26.7212
archon-config-1.json,56,0.00964,50.5002
archon-config-1.json,57,0.01097,63.9499
archon-config-1.json,58,0.00329,17.4923
archon-config-1.json,59,0.00817,78.4974
archon-config-1.json,60,0.01235,56.9247
archon-config-1.json,61,0.00789,41.9793
archon-config-1.json,62,0.00649,47.1085
archon-config-1.json,63,0.01057,66.9267
archon-config-1.json,64,0.01394,108.8617
archon-config-1.json,65,0.00797,44.781
archon-config-1.json,66,0.00443,27.5919
archon-config-1.json,67,0.00955,41.6863
archon-config-1.json,68,0.00838,49.207
archon-config-1.json,69,0.00892,51.6623
archon-config-1.json,70,0.00624,26.9095
archon-config-1.json,71,0.00653,39.5073
archon-config-1.json,72,0.00661,37.9351
archon-config-1.json,73,0.00662,35.1627
archon-config-1.json,74,0.01027,46.4354
archon-config-1.json,75,0.00817,28.0128
archon-config-1.json,76,0.00567,30.0598
archon-config-1.json,77,0.01084,45.6397
archon-config-1.json,78,0.00864,32.8222
archon-config-1.json,79,0.00786,31.6153
archon-config-1.json,80,0.01151,60.9088
archon-config-1.json,81,0.00825,41.9361
archon-config-1.json,82,0.01127,40.1828
archon-config-1.json,83,0.0142,68.6755
archon-config-1.json,84,0.0033,21.5229
archon-config-1.json,85,0.01489,70.2675
archon-config-1.json,86,0.00751,43.6152
archon-config-1.json,87,0.00854,48.0628
archon-config-1.json,88,0.00453,25.3179
archon-config-1.json,89,0.01233,56.5031
archon-config-1.json,90,0.0072,47.3935
archon-config-1.json,91,0.00685,31.9512
archon-config-1.json,92,0.0107,47.4047
archon-config-1.json,93,0.00783,36.0192
archon-config-1.json,94,0.00576,34.8673
archon-config-1.json,95,0.00698,38.0647
archon-config-1.json,96,0.00867,63.1015
archon-config-1.json,97,0.00589,26.9167
archon-config-1.json,98,0.00514,26.6647
archon-config-1.json,99,0.00691,27.1069
archon-config-1.json,100,0.00803,46.3907
archon-config-1.json,101,0.00569,29.0038
archon-config-1.json,102,0.00668,23.068
archon-config-1.json,103,0.00839,40.1521
archon-config-1.json,104,0.00662,36.0101
archon-config-1.json,105,0.01045,66.2201
archon-config-1.json,106,0.0053,22.997
archon-config-1.json,107,0.00516,24.3833
archon-config-1.json,108,0.00873,54.1181
archon-config-1.json,109,0.00921,42.1371
archon-config-1.json,110,0.01064,42.7681
archon-config-1.json,111,0.00698,33.4741
archon-config-1.json,112,0.00832,43.5087
archon-config-1.json,113,0.00617,37.4601
archon-config-1.json,114,0.0048,28.9815
archon-config-1.json,115,0.01187,54.8935
archon-config-1.json,116,0.00872,51.3968
archon-config-1.json,117,0.00637,36.1817
archon-config-1.json,118,0.00519,29.6005
archon-config-1.json,119,0.00794,39.253
archon-config-1.json,120,0.00833,37.0874
archon-config-1.json,121,0.00687,33.9843
archon-config-1.json,122,0.0081,44.3292
archon-config-1.json,123,0.0051,24.6548
archon-config-1.json,124,0.00828,52.0108
archon-config-1.json,125,0.0057,26.7428
archon-config-1.json,126,0.00787,52.1858
archon-config-1.json,127,0.00874,43.0058
archon-config-1.json,128,0.02525,42.8213
archon-config-1.json,129,0.00902,50.8084
archon-config-1.json,130,0.00593,39.5865
archon-config-1.json,131,0.00769,37.668
archon-config-1.json,132,0.00898,46.9944
archon-config-1.json,133,0.01154,74.6271
archon-config-1.json,134,0.0076,47.7139
archon-config-1.json,135,0.00848,40.9973
archon-config-1.json,136,0.0066,40.2328
archon-config-1.json,137,0.01047,65.7935
archon-config-1.json,138,0.00509,30.8405
archon-config-1.json,139,0.0071,36.0875
archon-config-1.json,140,0.01201,64.1075
archon-config-1.json,141,0.00414,27.5304
archon-config-1.json,142,0.00413,22.0115
archon-config-1.json,143,0.00716,31.0775
archon-config-1.json,144,0.0084,51.8023
archon-config-1.json,145,0.00482,31.352
archon-config-1.json,146,0.00657,35.7153
archon-config-1.json,147,0.00728,47.4619
archon-config-1.json,148,0.00773,52.9895
archon-config-1.json,149,0.00481,22.5662
archon-config-1.json,150,0.00809,57.1419
archon-config-1.json,151,0.01182,70.8019
archon-config-1.json,152,0.00539,40.4557
archon-config-1.json,153,0.00953,38.0584
