config,question_num,total_cost_usd,total_time_sec
archon-config-1.json,1,0.00265,16.9973
archon-config-1.json,2,0.00248,16.3103
archon-config-1.json,3,0.00216,19.8694
archon-config-1.json,4,0.0029,20.1791
archon-config-1.json,5,0.00291,16.2889
archon-config-1.json,6,0.00358,20.2022
archon-config-1.json,7,0.00282,16.5875
archon-config-1.json,8,0.00295,16.8487
archon-config-1.json,9,0.00235,15.9284
archon-config-1.json,10,0.00284,18.4068
archon-config-1.json,11,0.00358,20.852
archon-config-1.json,12,0.00195,11.6654
archon-config-1.json,13,0.00257,16.4787
archon-config-1.json,14,0.00284,18.0286
archon-config-1.json,15,0.00375,26.9226
archon-config-1.json,16,0.00324,26.0109
archon-config-1.json,17,0.00289,16.7952
archon-config-1.json,18,0.00302,16.2766
archon-config-1.json,19,0.00219,11.4687
archon-config-1.json,20,0.00229,13.2067
archon-config-1.json,21,0.00279,15.223
archon-config-1.json,22,0.00395,25.7188
archon-config-1.json,23,0.00203,12.9988
archon-config-1.json,24,0.00279,16.7658
archon-config-1.json,25,0.00258,14.5997
archon-config-1.json,26,0.00215,10.8039
archon-config-1.json,27,0.00275,15.7795
archon-config-1.json,28,0.00253,15.8769
archon-config-1.json,29,0.00282,14.438
archon-config-1.json,30,0.00238,13.8287
archon-config-1.json,31,0.00536,26.9942
archon-config-1.json,32,0.00219,12.9486
archon-config-1.json,33,0.0047,27.201
archon-config-1.json,34,0.00409,21.4366
archon-config-1.json,35,0.00312,17.9811
archon-config-1.json,36,0.00394,21.9482
archon-config-1.json,37,0.00249,15.5661
archon-config-1.json,38,0.00209,12.8043
archon-config-1.json,39,0.00417,21.2563
archon-config-1.json,40,0.00248,15.1829
archon-config-1.json,41,0.0027,13.2231
archon-config-1.json,42,0.00421,21.4832
archon-config-1.json,43,0.00232,13.1508
archon-config-1.json,44,0.00346,19.3675
archon-config-1.json,45,0.00295,16.9946
archon-config-1.json,46,0.00309,18.1464
archon-config-1.json,47,0.00391,24.0621
archon-config-1.json,48,0.00253,20.5133
archon-config-1.json,49,0.00285,18.0389
archon-config-1.json,50,0.00216,19.1954
archon-config-1.json,51,0.00329,20.608
archon-config-1.json,52,0.00261,21.1415
archon-config-1.json,53,0.0049,23.3881
archon-config-1.json,54,0.00236,14.0695
archon-config-1.json,55,0.00243,13.0054
archon-config-1.json,56,0.003,16.3227
archon-config-1.json,57,0.004,23.144
archon-config-1.json,58,0.00264,13.9836
archon-config-1.json,59,0.00279,17.3173
archon-config-1.json,60,0.00314,19.1104
archon-config-1.json,61,0.00246,14.3607
archon-config-1.json,62,0.00206,15.7985
archon-config-1.json,63,0.00271,15.135
archon-config-1.json,64,0.0072,40.0426
archon-config-1.json,65,0.00209,15.0563
archon-config-1.json,66,0.00305,19.2063
archon-config-1.json,67,0.00315,27.5052
archon-config-1.json,68,0.00309,14.7837
archon-config-1.json,69,0.00297,16.6248
archon-config-1.json,70,0.00253,16.1896
archon-config-1.json,71,0.00274,16.142
archon-config-1.json,72,0.0037,22.687
archon-config-1.json,73,0.00417,37.9645
archon-config-1.json,74,0.00351,16.156
archon-config-1.json,75,0.00216,11.7057
archon-config-1.json,76,0.00327,16.097
archon-config-1.json,77,0.00234,13.4091
archon-config-1.json,78,0.00342,28.0444
archon-config-1.json,79,0.00282,26.2844
archon-config-1.json,80,0.00356,31.7232
archon-config-1.json,81,0.00303,19.6434
archon-config-1.json,82,0.00251,14.2771
archon-config-1.json,83,0.00223,20.8656
archon-config-1.json,84,0.00316,32.0589
archon-config-1.json,85,0.00263,19.8604
archon-config-1.json,86,0.00284,25.9119
archon-config-1.json,87,0.00247,19.4069
archon-config-1.json,88,0.00227,21.2188
archon-config-1.json,89,0.00355,21.3658
archon-config-1.json,90,0.00296,22.8464
archon-config-1.json,91,0.00172,12.0664
archon-config-1.json,92,0.00321,18.6403
archon-config-1.json,93,0.00314,26.5915
archon-config-1.json,94,0.00308,24.9071
